query,response 
Cold weather and snow CANNOT kill the new coronavirus.,"There is no reason to believe that cold weather can kill the new coronavirus or other diseases. The normal human body temperature remains around 36.5°C to 37°C, regardless of the external temperature or weather. The most effective way to protect yourself against the new coronavirus is by frequently cleaning your hands with alcohol-based hand rub or washing them with soap and water.

"
Can a HOT bath  prevent the new coronavirus disease,Taking a hot bath will not prevent you from catching COVID-19. Your normal body temperature remains around 36.5°C to 37°C regardless of the temperature of your bath or shower. Actually taking a hot bath with extremely hot water can be harmful as it can burn you. The best way to protect yourself against COVID-19 is by frequently cleaning your hands. By doing this you eliminate viruses that may be on your hands and avoid infection that could occur by then touching your eyes mouth and nose.
The new coronavirus CANNOT be transmitted through mosquito bites.,To date there has been no information nor evidence to suggest that the new coronavirus could be transmitted by mosquitoes. The new coronavirus is a respiratory virus which spreads primarily through droplets generated when an infected person coughs or sneezes or through droplets of saliva or discharge from the nose. To protect yourself clean your hands frequently with an alcohol-based hand rub or wash them with soap and water. Also avoid close contact with anyone who is coughing and sneezing.
Are hand dryers effective in killing the new coronavirus?,No. Hand dryers are not effective in killing the 2019-nCoV. To protect yourself against the new coronavirus you should frequently clean your hands with an alcohol-based hand rub or wash them with soap and water. Once your hands are cleaned you should dry them thoroughly by using paper towels or a warm air dryer.
Can an ultraviolet disinfection lamp kill the new coronavirus?,UV lamps should not be used to sterilize hands or other areas of skin as UV radiation can cause skin irritation.
How effective are thermal scanners in detecting people infected with the new coronavirus?,Thermal scanners are effective in detecting people who have developed a fever (i.e. have a higher than normal body temperature) because of infection with the new coronavirus.
Can spraying alcohol or chlorine all over your body kill coronavirus?,No. Spraying alcohol or chlorine all over your body will not kill viruses that have already entered your body. Spraying such substances can be harmful to clothes or mucous membranes (i.e. eyes mouth). Be aware that both alcohol and chlorine can be useful to disinfect surfaces but they need to be used under appropriate recommendations.
Do vaccines against pneumonia protect you against the new coronavirus?,No. Vaccines against pneumonia such as pneumococcal vaccine and Haemophilus influenza type B (Hib) vaccine do not provide protection against the new coronavirus.
Can regularly rinsing your nose with saline help prevent infection with the new coronavirus?,No. There is no evidence that regularly rinsing the nose with saline has protected people from infection with the new coronavirus. 
Can eating garlic help prevent the new coronavirus?,Garlic is a healthy food that may have some antimicrobial properties. However there is no evidence from the current outbreak that eating garlic has protected people from the new coronavirus.
"Does the new coronavirus affect older people, or are younger people also susceptible?","People of all ages can be infected by the new coronavirus (2019-nCoV). Older people, and people with pre-existing medical conditions (such as asthma, diabetes, heart disease) appear to be more vulnerable to becoming severely ill with the virus. 

WHO advises people of all ages to take steps to protect themselves from the virus, for example by following good hand hygiene and good respiratory hygiene."
Are antibiotics effective in preventing and treating the new coronavirus?,No antibiotics do not work against viruses only bacteria. 
Are there any specific medicines to prevent or treat the new coronavirus?,To date there is no specific medicine recommended to prevent or treat the new coronavirus (2019-nCoV).
Coronavirus can be transmitted in areas with hot and humid climates,"From the evidence so far, the COVID-19 virus can be transmitted in ALL AREAS, including areas with hot and humid weather. Regardless of climate, adopt protective measures if you live in, or travel to an area reporting COVID-19. The best way to protect yourself against COVID-19 is by frequently cleaning your hands. By doing this you eliminate viruses that may be on your hands and avoid infection that could occur by then touching your eyes, mouth, and nose."
Being able to hold your breath for 10 seconds or more without coughing or feeling discomfort DOES NOT mean you are free from the coronavirus disease (COVID-19) or any other lung disease.,"The most common symptoms of COVID-19 are dry cough, tiredness and fever. Some people may develop more severe forms of the disease, such as pneumonia. The best way to confirm if you have  the virus producing COVID-19 disease is with a laboratory test.  You cannot confirm it with this breathing exercise, which can even be dangerous."
Exposing yourself to the sun or to temperatures higher than 25C degrees DOES NOT prevent the coronavirus disease (COVID-19),"You can catch COVID-19, no matter how sunny or hot the weather is. Countries with hot weather have reported cases of COVID-19. To protect yourself, make sure you clean your hands frequently and thoroughly and avoid touching your eyes, mouth, and nose.  "
